platform,key,zh,en,status,finding_id,notes
web,about.timeline.ai.desc,引入 GPT-4，提升解释质量与决策支持能力,Introduced GPT-4 to improve explanation quality and decision support,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.ai.title,AI升级,AI Upgrade,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.badge,发展历程,Our Journey,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.expansion.desc,服务范围扩展至全球主要留学目的地,Service expanded to major study abroad destinations worldwide,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.expansion.title,全球拓展,Global Expansion,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.founded.desc,团队组建，开始产品研发,"Team assembled, product development began",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.founded.title,平台创立,Platform Founded,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.growth.desc,用户突破1万，覆盖500+院校,"Users exceeded 10,000, covering 500+ schools",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.growth.title,快速发展,Rapid Growth,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.timeline.title,发展历程,Our Journey,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.title,留学申请平台,Study Abroad Platform,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.badge,我们的价值观,Our Values,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.care.desc,每一位用户都值得最好的服务,Every user deserves the best service,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.care.title,用心服务,Dedicated Service,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.innovation.desc,用最新技术不断优化用户体验,Constantly improving user experience with the latest technology,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.innovation.title,持续创新,Continuous Innovation,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.mission.desc,帮助学生实现留学梦想是我们的核心使命,Helping students achieve their study abroad dreams is our core mission,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.mission.title,使命驱动,Mission-Driven,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.title,我们的价值观,Our Values,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.trust.desc,真实数据，客观分析，不夸大不误导,"Real data, objective analysis, no exaggeration or misleading",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.values.trust.title,诚信透明,Integrity & Transparency,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.vision.content,我们希望成为全球最值得信赖的留学服务平台，通过AI技术和真实数据，让每一位申请者都能做出最适合自己的选择。,"We aspire to become the world's most trusted study abroad service platform, using AI technology and real data to help every applicant make the best choice for themselves.",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.vision.title,我们的愿景,Our Vision,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,activity.noActivity,暂无活动记录,No activity yet,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,activity.noActivityDesc,开始使用平台功能后，活动会显示在这里,Activities will appear here once you start using the platform,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,activity.title,最近动态,Recent Activity,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,activityForm.linkedToTemplate,已关联模板,Linked to template,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.active,已启用,Active,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.aliases,别名,Aliases,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.allCategories,全部类别,All Categories,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.allTiers,全部档位,All Tiers,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.category,类别,Category,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.categoryPlaceholder,类别,Category,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.chineseName,中文名,Chinese Name,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.deleteTitle,删除活动模板,Delete Activity Template,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.description,管理活动模板（名称、类别、档位）,"Manage activity templates (name, category, tier) for student",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.descriptionLabel,描述,Description,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.emptyDescription,点击「创建」添加新的活动模板,Click Create to add a new activity template,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.emptyTitle,暂无活动模板,No Activity Templates,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.name,名称,Name,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.optionalDescription,可选描述,Optional description,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.searchPlaceholder,按名称、中文名或别名搜索…,"Search by name, Chinese name, or aliases...",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.tier,档位,Tier,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.tierPlaceholder,档位,Tier,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.toast.created,活动模板已创建,Activity template created,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.toast.deleted,活动模板已删除,Activity template deleted,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.activityTemplates.toast.updated,活动模板已更新,Activity template updated,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentMaxTokens,最大 Token,Max Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentMaxTokensDesc,单次回复的最大 Token 数量，影响回复长度上限,"Maximum number of tokens per response, controlling the maximum reply length",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentModel,模型,Model,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentModelDesc,为此 Agent 指定专属模型，留空则使用全局默认模型,Assign a dedicated model for this agent. Leave default to use the global model.,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentModelPlaceholder,选择模型,Select model,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentTemp,温度,Temperature,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentTempDesc,值越低回答越确定、越保守；值越高回答越多样、越有创意,Lower values produce more deterministic output; higher values increase diversity and creativity,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentTools,工具数,Tools,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentUpdated,Agent 已更新,Agent updated,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentsDesc,每个 Agent 可独立配置模型、温度和最大 Token 数，点击编辑按钮修改,"Each agent can have its own model, temperature, and max tokens. Click the edit button to configure.",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.agentsTitle,Agent 配置,Agent Configuration,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.cancel,取消,Cancel,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.circuitReset,熔断器已重置,Circuit breaker reset,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.circuitState,熔断状态,Circuit State,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.circuitTitle,熔断器管理,Circuit Breakers,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.dailyCost,日费用限额,Daily Cost Limit,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.dailyTokens,日 Token 限额,Daily Token Limit,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.description,监控和配置 AI Agent 系统,Monitor and configure AI Agent system,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.disabled,已禁用,Disabled,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.duration,耗时,Duration,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.editAgent,编辑 Agent 配置,Edit Agent Configuration,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.enabled,已启用,Enabled,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.failures,失败数,Failures,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.featureUpdated,功能开关已更新,Feature toggle updated,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.abTest,A/B 测试,A/B Testing,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.abTestDesc,对不同 Agent 配置进行分流实验，用于评估模型参数调优效果和用户满意度,Runs split experiments across different agent configurations to evaluate model tuning and user satisfaction,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.fastRouting,快速路由,Fast Routing,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.fastRoutingDesc,根据用户意图自动选择最优 Agent，跳过不必要的处理步骤以降低延迟,"Automatically selects the optimal agent based on user intent, skipping unnecessary steps to reduce latency",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.memoryEnhancement,记忆增强,Memory Enhancement,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.memoryEnhancementDesc,启用跨会话长期记忆，Agent 可记住用户偏好和历史上下文以提供个性化回答,Enables cross-session long-term memory so agents can remember user preferences and context for personalized responses,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.streaming,流式输出,Streaming,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.features.streamingDesc,逐字实时输出 AI 回复，提升用户体验感知速度；关闭后将等待完整回复后一次性返回,"Streams AI responses token-by-token in real time for faster perceived speed; when disabled, waits for the full response before returning",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.featuresTitle,功能开关,Feature Toggles,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.healthTitle,健康状态,Health Status,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmDefaultModel,默认模型,Default Model,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmDesc,配置默认模型、回退模型和请求参数，适用于所有未单独指定模型的 Agent,"Configure the default model, fallback model, and request parameters for all agents without a custom model",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmFallbackModel,回退模型,Fallback Model,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmMaxRetries,最大重试次数,Max Retries,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmTimeout,请求超时,Request Timeout,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmTitle,LLM 模型配置,LLM Model Configuration,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmUpdate,更新 LLM 配置,Update LLM Config,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.llmUpdated,LLM 配置已更新,LLM configuration updated,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.loading,加载中...,Loading...,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricActiveReqs,活跃请求,Active Requests,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricAvgLatency,平均延迟,Avg Latency,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricCritiqueRate,反思通过率,Critique Pass Rate,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricErrorRate,错误率,Error Rate,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricErrors,总错误数,Total Errors,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricPromptTokens,Prompt Token,Prompt Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricRateLimits,限流触发,Rate Limit Hits,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricRequests,总请求数,Total Requests,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricRoutingFallback,路由回退率,Routing Fallback Rate,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricTokens,总 Token 用量,Total Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricsReset,指标已重置,Metrics reset,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.metricsTitle,指标概览,Metrics Overview,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.monthlyCost,月费用限额,Monthly Cost Limit,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.monthlyTokens,月 Token 限额,Monthly Token Limit,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.noMetrics,暂无指标数据,No metrics data available,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.noTraces,暂无追踪数据,No trace data available,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.quotaDesc,配置 Token 和费用限额,Configure token and cost limits,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.quotaTitle,配额配置,Quota Configuration,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.quotaUpdated,配额已更新,Quota updated,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.reset,重置,Reset,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.resetMetrics,重置指标,Reset Metrics,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.save,保存,Save,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.state,状态,State,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.status.degraded,降级,Degraded,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.status.healthy,健康,Healthy,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.status.unknown,未知,Unknown,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.timestamp,时间,Time,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.title,AI Agent 管理,AI Agent Management,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.traceId,调用链 ID,Trace ID,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.traceStatus,状态,Status,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.tracesErrors,错误请求,Errors,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.tracesRecent,最近请求,Recent,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.tracesSlow,慢请求,Slow,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.tracesTitle,请求追踪,Request Traces,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiAgent.updateQuota,更新配额,Update Quota,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.description,监控、配置和分析 AI 系统,"Monitor, configure, and analyze the AI system",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.agent,Agent,Agent,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.allAgents,全部 Agent,All agents,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.allModels,全部模型,All models,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.cost,成本,Cost,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.empty,暂无 LLM 调用记录,No LLM calls recorded yet,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.filterAgent,Agent 类型,Agent type,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.filterModel,模型,Model,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.filterUser,用户 ID,User ID,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.finish,完成,Finish,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.input,输入（系统提示词）,Input (System Prompt),已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.latency,延迟,Latency,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.loading,加载中...,Loading...,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.model,模型,Model,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.noData,无预览数据,No preview available,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.output,输出,Output,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.showing,显示 {from}-{to}，共 {total} 条,Showing {from}-{to} of {total},已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.time,时间,Time,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.title,LLM 调用历史,LLM Call History,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.tokens,Token 数,Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.llmCalls.total,条记录,total,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.tabs.config,配置,Configuration,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.tabs.engagement,用户参与,Engagement,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.tabs.llmCalls,调用记录,LLM Calls,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.tabs.overview,概览,Overview,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.tabs.performance,性能,Performance,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.tabs.reliability,可靠性,Reliability,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.aiOps.title,AI 运维中心,AI Operations,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.agentPerformance.agentType,Agent 类型,Agent Type,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.agentPerformance.avgTokens,平均 Token/请求,Avg Tokens/Req,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.agentPerformance.cost,费用,Cost,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.agentPerformance.noData,暂无 Agent 性能数据,No agent performance data available,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.agentPerformance.requests,请求数,Requests,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.agentPerformance.title,Agent 性能,Agent Performance,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.agentPerformance.tokens,Token 数,Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.days30,30 天,30 Days,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.days7,7 天,7 Days,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.days90,90 天,90 Days,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.description,系统指标、使用趋势与性能分析,"System metrics, usage trends, and performance insights",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.newUsers,新用户,New Users,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.noData,暂无参与度数据,No engagement data available,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.posts,帖子,Posts,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.totalNewUsers,新增用户总数,Total New Users,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.totalPayments,支付总数,Total Payments,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.totalPosts,帖子总数,Total Posts,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.totalRevenue,总收入,Total Revenue,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.engagement.userTrend,用户注册趋势,User Registration Trend,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tabs.agentPerformance,Agent 性能,Agent Performance,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tabs.engagement,用户参与度,User Engagement,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tabs.tokenUsage,Token 用量,Token Usage,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.timeRange,时间范围,Time Range,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.title,数据分析,Analytics,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.avgTokensPerDay,日均 Token,Avg Tokens/Day,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.byModel,按模型分布,Token Usage by Model,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.completionTokens,补全 Token,Completion Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.dailyTrend,每日 Token 用量,Daily Token Usage,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.noData,暂无 Token 用量数据,No token usage data available,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.promptTokens,提示 Token,Prompt Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.totalCost,总费用,Total Cost,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.totalRequests,总请求数,Total Requests,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.analytics.tokenUsage.totalTokens,总 Token 数,Total Tokens,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.activate.activate,激活,Activate,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.activate.activateSuccess,策略已激活,Policy activated,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.activate.policy,策略,Policy,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.activate.rollback,回滚,Rollback,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.activate.rollbackSuccess,已回滚到上一个 active 策略,Rolled back to the previous active policy,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.activate.selectPolicy,选择一个策略版本,Select a policy version,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.activate.title,发布控制,Release Controls,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.autoPromote,自动升级,Auto-promote,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.autoRetire,自动退役,Auto-retire,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.configSaved,自动化配置已保存,Automation config saved,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.currentPercentage,当前百分比,Current percentage,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.disabled,关闭,Disabled,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.enabled,开启,Enabled,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.experiment,实验,Experiment,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,admin.applicationAnalysisWorkflow.automation.lastSweep,最近 Sweep,Last sweep,需产品确认,I18N-016,Admin/application-analysis ML terminology policy is inconsistent.
